,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Pose
383,16600.278746313503,17817.264719620594,18877.368199968423,18580.022866442327,16593.280752644507,17072.60709020838,14572.950280781002,12950.519258952269,1.0
384,16973.38839898464,18185.01435832585,19243.442637295695,18954.757099133778,16994.473096461155,17476.389164832297,15003.863780297805,13375.149847281102,1.0
385,16915.8397987536,18116.220935963673,19168.8271986586,18889.01179392878,16964.191604952106,17445.5209618583,15024.148509291532,13411.472215763246,1.0
386,16621.182507914,17802.803297916427,18841.45525715201,18567.80252335357,16680.91865240238,17155.817497698405,14790.29496652695,13209.089632788164,1.0
387,15992.892488307461,17143.439182376045,18155.518110629077,17887.539850902125,16049.981936020198,16510.808650707768,14217.456001040775,12693.460757760322,1.0
388,15123.062833973923,16239.340299073147,17220.121567278013,16956.713741613898,15165.883375617943,15610.46943975339,13384.167959392937,11923.520830878015,1.0
389,14657.705701645633,15747.3579097265,16702.501703815462,16441.69644011035,14682.002399955649,15114.719695150447,12925.219027566742,11505.957341228761,1.0
390,14548.26994695197,15623.717500282512,16565.4229583221,16307.794025510613,14569.675696833418,14996.584448202062,12825.75713557238,11425.047597874134,1.0
391,14798.16225652391,15874.863765872004,16818.34763541996,16563.903376855666,14831.26290661916,15260.67690319638,13086.685337084236,11676.70389519469,1.0
392,15251.292305743824,16340.350189351622,17296.738368623388,17044.469602651687,15302.903275180826,15740.967919905323,13548.962636017484,12111.405936317662,1.0
393,15517.318244301063,16619.665867412514,17590.028640227305,17338.681509685295,15584.947678694398,16031.177659325193,13821.527818249095,12359.544382265882,1.0
394,15607.611588555701,16717.079894991188,17695.52924773419,17444.02854282523,15683.113195166698,16133.83414787352,13916.584731980292,12444.769102869406,1.0
395,15446.77047592575,16554.000467977115,17531.459490032543,17279.349008675283,15520.6278002856,15970.806069580118,13758.361677014584,12295.881490366273,1.0
396,15169.916992613127,16271.041633555045,17242.604110342418,16989.049765027794,15234.412752368533,15681.332931868264,13473.513403748893,12027.385294230353,1.0
397,14986.750650033036,16085.175782867647,17052.257734998493,16796.029598207377,15037.580204284814,15481.947888479302,13262.987237502408,11823.396175547045,1.0
398,15005.067301363544,16105.174088660053,17072.54841169507,16814.663927306083,15049.656791653648,15493.971380224086,13260.846589452985,11818.77358475462,1.0
399,15207.97735671752,16318.678055727765,17294.585543517158,17034.335098405114,15251.569245764353,15699.96593926517,13439.078329979202,11976.444487888839,1.0
400,15532.58459191457,16655.638971420667,17642.99503930495,17381.60939174209,15582.950165552706,16036.987418987219,13753.577996527261,12269.425427233402,1.0
401,15747.144647718946,16883.057842027836,17882.672829018262,17620.152680768442,15805.125432357381,16265.026103832217,13960.905937031474,12456.225589366444,1.0
402,15834.909111538496,16980.617004760137,17989.619572212603,17725.84765998434,15898.009452743725,16362.318304471652,14042.816371004817,12524.840926448192,1.0
403,15789.130837465033,16942.36814530075,17958.137952641377,17692.447426620893,15852.65352239671,16320.026600070914,13984.026751362577,12456.577649139124,1.0
404,15724.654337013653,16880.74325625899,17898.69009625335,17631.296991534015,15784.676969150561,16252.875071727472,13906.315854677528,12376.99550964192,1.0
405,15699.332194389452,16856.757421248676,17875.359592132467,17606.636261406406,15755.489546606796,16223.82510607774,13869.971688134705,12340.461271489006,1.0
406,15714.688546966368,16874.112076031666,17893.88838496329,17624.12705193877,15768.16484370809,16236.77541988925,13876.712031723826,12344.765228493017,1.0
407,15715.40926764514,16878.12304391941,17900.225002736453,17629.23264660689,15766.435288221159,16235.533672271342,13869.230585686328,12331.695628419038,1.0
408,15761.89809230346,16925.818905531978,17948.726112345677,17676.99957188086,15811.05917244244,16279.688964771887,13912.880845355894,12373.202175053075,1.0
409,15847.658626694914,17009.502209876384,18030.467958388253,17759.27509142898,15897.36108333617,16364.17748526134,14007.274085062038,12472.241186310463,1.0
410,15848.569832261992,17008.48611067007,18027.413556801825,17756.383762288475,15896.958452096731,16362.155166639299,14011.539627942278,12479.350980967014,1.0
411,15840.144636354386,16997.417013956496,18013.874614190903,17743.37328099978,15887.907037776176,16351.867809681717,14006.818174228614,12477.65924824312,1.0
412,15849.590663114743,17005.067676497893,18019.937108192007,17750.397905579033,15898.961373777569,16362.668458207985,14021.038940397932,12492.539538598401,1.0
413,15867.713843033687,17020.479057149456,18033.487516976,17765.814733657568,15921.947049317887,16385.447988927976,14053.032603389158,12527.237657544614,1.0
414,15826.46162276134,16974.200793679658,17984.041697346413,17719.114132341456,15888.31954759386,16350.341896260154,14039.233196281659,12522.000989494942,1.0
415,15706.840344111859,16846.954027691965,17850.563893355717,17587.8562813922,15770.870458615304,16229.541990293515,13942.326233990261,12437.222721225604,1.0
416,15589.065151178707,16714.330074998707,17705.28062338372,17445.51012039675,15651.63052126027,16103.502367142088,13853.383714511026,12372.630917314538,1.0
417,15406.738174537535,16513.79541588852,17488.803515992855,17231.935727679014,15464.68410555399,15907.81103274304,13700.526325987423,12249.057001117895,1.0
418,15202.903679384824,16291.937787113353,17250.46257277465,16996.2974304307,15254.419613622833,15688.80491746073,13519.927691746416,12095.4153014208,1.0
419,15052.096982869552,16124.058431774403,17067.13384710106,16816.505871838544,15100.852418001625,15527.528279841155,13393.260158706315,11992.325271360027,1.0
420,15044.619070891162,16101.586485575393,17032.238721456513,16787.091971321493,15100.142734307316,15521.570156939777,13422.568916803471,12041.258294361185,1.0
421,15129.436095666737,16176.895337542092,17100.661695048228,16861.315918308264,15197.93916661911,15617.657732985906,13545.539432420788,12173.283674036022,1.0
422,15200.796947696792,16240.093034803262,17158.395320580395,16924.538664874566,15283.169483312828,15701.939133915503,13655.910271172912,12290.75114351562,1.0
423,15076.956847920097,16102.540800010242,17010.52783000341,16782.06707036272,15169.29202567581,15583.762367420826,13578.35670489411,12232.569685769151,1.0
424,14731.484108390465,15733.084733302443,16621.44583957845,16398.906732091404,14827.320463035167,15232.001914375653,13288.656603547573,11982.50830369064,1.0
425,14246.754528339106,15218.169797950646,16079.949675942125,15862.965857784866,14338.364863404433,14729.312117253634,12855.84098337922,11600.101762896169,1.0
426,13740.70617431078,14677.884581540096,15509.225226605604,15298.432930155092,13826.04373561674,14201.176537387275,12402.8591825878,11203.491472012698,1.0
427,13435.10820471263,14342.262112625649,15146.733943544625,14942.736094975864,13517.938292971252,13880.104591618008,12144.180474869707,10989.22138766461,1.0
428,13415.878231574454,14304.198478946337,15091.768482996096,14894.135583837799,13503.427310898735,13859.110369706816,12159.573705891742,11024.176931705233,1.0
429,13535.362459187132,14413.738940451914,15193.661241592434,15002.517715345048,13637.04867054151,13991.543528479477,12315.011496522347,11183.143018731034,1.0
430,13648.053199476175,14519.032590574227,15294.828929873403,15110.52445869917,13768.908591617084,14123.974987503521,12472.165069555556,11341.943464722986,1.0
431,13600.589111384565,14458.26088734789,15225.238898543941,15048.384412084553,13739.145767505524,14091.912294014153,12481.64867078197,11367.2177679023,1.0
432,13295.65382462099,14129.222484870006,14877.410906651558,14708.114485812903,13444.19691769021,13788.871105683227,12242.40926290747,11165.500000511187,1.0
433,12677.957201779882,13473.970135452077,14190.820703757152,14030.436686247109,12829.437722627004,13159.259268948017,11704.24764452144,10691.560406203273,1.0
434,12007.92719521079,12759.61662844885,13438.33467260708,13287.133383275761,12156.124627740985,12467.591876025392,11110.510533863853,10171.723735525755,1.0
435,11596.956434461226,12309.915870516346,12954.250018558596,12811.456306796066,11741.04377287457,12036.725534640434,10756.889476576247,9875.898830555338,1.0
436,11422.252590196398,12107.589578284767,12727.543358106219,12593.152968181033,11569.323156821554,11855.776181418873,10629.360653074633,9783.088673167249,1.0
437,11690.488890646642,12365.629411209995,12977.403887448796,12849.387195383999,11847.962114444492,12134.520103503526,10924.297953446112,10077.204398710432,1.0
438,11969.10686339898,12644.866605571002,13258.917479045045,13135.844039108735,12144.025408794192,12434.599163328936,11224.983755701358,10362.086971260685,1.0
439,11917.641868042989,12584.466548359667,13194.245312104254,13078.457406209223,12114.67013376332,12404.857025856323,11228.891233683471,10375.11655515925,1.0
440,11738.129603789088,12387.73055794231,12985.265856983913,12876.249812838585,11947.942544558573,12233.6950707769,11107.079646105478,10277.975050385392,1.0
441,11292.798066453246,11912.506815875773,12485.642199819073,12383.703625498858,11505.446861929164,11779.992632753467,10725.911964240913,9944.782337430146,1.0
442,10633.47033404908,11211.656147149175,11748.859267420396,11655.111013033644,10842.528275082517,11099.298999895982,10136.841447154113,9424.042870683284,1.0
443,10190.114570021531,10726.427003650393,11226.857165378347,11141.992345257217,10396.921907156,10636.391154389097,9763.411663979268,9116.389492266007,1.0
444,9940.659448636774,10449.315422008036,10924.644398654034,10846.724851047999,10147.866101917,10376.234193414155,9556.869406065578,8947.865621608233,1.0
445,10209.220417747594,10712.039455185697,11181.240559885387,11106.792730449039,10421.013045884118,10648.236780300263,9830.975416559793,9217.4346099938,1.0
446,10507.342108050989,11017.841337175487,11494.586968367923,11422.416105824266,10733.3277162782,10966.240861362356,10133.005653027529,9496.504336750097,1.0
447,10598.058795728175,11112.11078244612,11594.778187384467,11526.427926668262,10843.627913192295,11080.88075500492,10252.311349364563,9606.09308014786,1.0
448,10626.074813924548,11138.488934977642,11621.991029139042,11556.476476639185,10883.92039750731,11122.48208805725,10308.866764525977,9663.035582179098,1.0
449,10348.756408268031,10843.728305164337,11313.550095887664,11252.837999152624,10611.643670813239,10843.896017947205,10077.239751500463,9460.372604121703,1.0
450,9863.727848008311,10324.883446300468,10766.3725010197,10713.368226318618,10127.709783061815,10346.556416542455,9660.343847225902,9100.497886153851,1.0
451,9518.927637885638,9948.524193061983,10362.002565243629,10315.018338345031,9778.526313137138,9984.319775113781,9365.85318055634,8856.35917016425,1.0
452,9383.526869416386,9795.859258473181,10192.780567691474,10148.592352569898,9636.742151452645,9834.986918227274,9245.924888598052,8759.929854588348,1.0
453,9460.818879626224,9873.088882917336,10268.599718154706,10225.008298013972,9713.019445404854,9911.264769288831,9315.294035453806,8823.967183396468,1.0
454,9701.307986977024,10127.034575585476,10533.934579811415,10489.27113125483,9958.254685152047,10162.572701264657,9534.449825459275,9016.397469147903,1.0
455,10059.085165043329,10501.003367019419,10923.102482943053,10877.705199521619,10326.55078329971,10539.10662064634,9880.685266575776,9333.893335891727,1.0
456,10203.19364073164,10654.372812733474,11086.39733321599,11040.92559623813,10480.390601997293,10698.147226711688,10028.440616903476,9467.395149656604,1.0
457,10135.050968505788,10583.585257678133,11014.448286175744,10969.764865901136,10415.33290190951,10632.44354102214,9974.444888599324,9419.701334614228,1.0
458,9914.029595225986,10349.728939298428,10769.811475063645,10727.161390311068,10192.690119954257,10404.420155425809,9777.738892367368,9246.371160970843,1.0
459,9622.662331464979,10039.743479811996,10443.98677325495,10404.382720815294,9898.10869435528,10102.162792204426,9517.998791157674,9019.088656615244,1.0
460,9514.422742199366,9921.817571307098,10316.827293624268,10278.228694986286,9784.715173046994,9984.294105806626,9417.559978864107,8934.305714851915,1.0
461,9644.217150601302,10055.37551720078,10452.234902156162,10411.735166522869,9907.536530442934,10108.374723268602,9522.732408275244,9030.358191889092,1.0
462,9886.264543299214,10308.290960686247,10714.164924866442,10671.430227988405,10148.830880101423,10354.862754544412,9739.624609570046,9227.11988586717,1.0
463,10076.766123485922,10512.000482533842,10930.031961331326,10885.27480811974,10343.559805689665,10555.446721735207,9911.449688906083,9377.153231564445,1.0
464,10159.980744707851,10604.563875431015,11031.691008466496,10985.550168164826,10430.500915970348,10646.299518017959,9983.838686191066,9435.379960531147,1.0
465,10149.444090633693,10596.234226092234,11026.218873948326,10979.792163447624,10422.23610768808,10639.103621302402,9975.707298212064,9425.98332390379,1.0
466,10031.433743405314,10475.49657027656,10903.459857022423,10857.188166245653,10303.922145953238,10519.43073153184,9865.830943416742,9323.693595828512,1.0
467,9913.390707209066,10353.688102440834,10778.019425326132,10731.382598721735,10181.927136827273,10395.081083912466,9748.897479838608,9215.004769235013,1.0
468,9871.465351834751,10310.039529281077,10731.998163327513,10684.543987604038,10134.732089366333,10346.371938121356,9699.42579568097,9168.737121136746,1.0
469,9890.206888485338,10330.3569363601,10753.118305720463,10704.916574155553,10151.739221471737,10363.56413198568,9711.007846782775,9178.139335321883,1.0
470,9901.198461746773,10346.330590816888,10773.003283484586,10723.544411961379,10162.708554766717,10376.375684934685,9712.059128543391,9172.039151736057,1.0
471,9954.879538853336,10404.326415399388,10834.770129206274,10784.386275910896,10217.57087690122,10433.03448604313,9757.844116905264,9211.156395036533,1.0
472,9972.28455033012,10424.4480513324,10857.462253335194,10806.572085034035,10236.191366141327,10452.65041542551,9770.642493044896,9219.720643411589,1.0
473,9971.293778528641,10423.802163542634,10857.244283293454,10806.266376696292,10235.475478328737,10452.082429259448,9769.068689331045,9217.743841560117,1.0
474,9971.006205599855,10423.598798023912,10857.013162882544,10805.978330277367,10234.611059703337,10451.23916155755,9767.938949238642,9216.239793710814,1.0
475,10000.98530135892,10453.005376697964,10885.993789837776,10835.245537595134,10264.804004238973,10481.410479084758,9799.314437719122,9247.591643830889,1.0
476,10012.101991307616,10465.583006866336,10899.791239745244,10848.77907452173,10275.858435431375,10493.222942220218,9807.470126066048,9252.353722383577,1.0
477,10015.637523762825,10469.246967195528,10903.713028230026,10852.902063839927,10280.289673128962,10497.88633870304,9812.30521565697,9256.288044448991,1.0
478,9937.056103277162,10387.630781455937,10819.985256349728,10770.196952601189,10203.698473056347,10420.20752378193,9744.509942612107,9193.774272581051,1.0
479,9851.373102896847,10294.39036046362,10720.492309538995,10672.35744894714,10117.906205178111,10331.169356941331,9673.054192303847,9133.997206603868,1.0
480,9856.068619879743,10287.85582786814,10704.64012413555,10659.118162886605,10123.13502558469,10332.199412422342,9700.214403142225,9177.518247574233,1.0
481,9785.174586398547,10208.85156119999,10618.546447842044,10574.666951539868,10051.17141397683,10257.029072574895,9642.12871880423,9130.434600634537,1.0
482,9800.903296640527,10219.658424058078,10624.794535694951,10582.42708957123,10067.018784676757,10271.091742353048,9662.948275257486,9156.006411385799,1.0
483,9924.94112607161,10345.208787354288,10751.724174838526,10710.114893782256,10194.133087318636,10399.779389735186,9784.707172849105,9271.67290228664,1.0
484,10048.104556577318,10472.673705900706,10883.626311496062,10842.710679136691,10323.00026565135,10531.781554329802,9906.559039983706,9383.594000050745,1.0
485,10067.591174498024,10492.85301526435,10905.336177067515,10865.638920632575,10347.827746086537,10557.928265055793,9933.042277329485,9407.104085612535,1.0
486,9988.042612993842,10406.794269174397,10814.424205154119,10777.098305566953,10272.834999014212,10480.73218283196,9875.211995088386,9358.96892912374,1.0
487,9666.690337455988,10071.57185844795,10467.477888020461,10433.567401252862,9954.594136636026,10155.974121808411,9588.884397172014,9096.39392199032,1.0
488,9405.099626790816,9789.880108567118,10168.016376373676,10138.093499661461,9691.494807568411,9884.024889044833,9364.188756418724,8903.004222484094,1.0
489,9337.747416176919,9708.462676163968,10073.61289989352,10046.65807166349,9622.482774068441,9809.154248139412,9319.868305204238,8877.547979264316,1.0
490,9303.440362650452,9665.570814201312,10022.38218395628,9997.80823532885,9587.805801888111,9771.188397120743,9295.291479734069,8862.074862126812,1.0
491,9374.762826352553,9734.203002216434,10088.980027696734,10067.173287081987,9665.63188229771,9849.53170905602,9376.05769716999,8942.61779282371,1.0
